"x1","x2"
24.5214,0.0
24.8248,0.0
24.3906,0.0
24.2112,0.0
24.0007,0.0
24.219,0.0
23.9352,0.0
23.7634,0.0
24.1502,0.0
23.7553,0.0
23.521,0.0
23.8154,0.0
23.6226,0.0
23.3254,0.0
23.6392,0.0
23.2945,0.0
23.5551,0.0
23.5982,0.0
23.9526,0.0
25.785,0.0
23.8383,0.0
24.988,0.0
24.8704,0.0
24.4632,0.0
25.7751,0.0
26.7495,0.0
24.6933,0.0
24.6658,0.0
24.4378,0.0
24.4536,0.0
24.3675,0.0
25.1657,0.0
25.2383,0.0
25.175,0.0
24.8547,0.0
23.8994,0.0
25.333,0.0
26.2754,0.0
26.1883,0.0
25.8608,0.0
26.2801,0.0
26.4316,0.0
28.5795,0.0
27.6087,0.0
26.1167,0.0
25.8759,0.0
26.4191,0.0
26.1911,0.0
27.6062,0.0
27.4167,0.0
26.2524,0.0
27.046,0.0
26.469,0.0
25.742,0.0
26.3629,0.0
27.2086,0.0
26.7098,0.0
26.2109,0.0
26.9722,0.0
26.8031,0.0
26.8485,0.0
26.93,0.0
27.3804,0.0
26.3443,0.0
26.9638,0.0
25.4354,0.0
24.3206,0.0
23.6446,0.0
24.0105,0.0
23.6343,0.0
24.7471,0.0
26.495,0.0
25.9609,0.0
23.8837,0.0
23.2203,0.0
23.3905,0.0
23.676,0.0
23.681,0.0
23.368,0.0
23.2894,0.0
25.5766,0.0
23.8583,0.0
24.4599,0.0
24.6038,0.0
24.8565,0.0
24.5076,0.0
24.844,0.0
23.7759,0.0
25.1534,0.0
24.1888,0.0
23.9248,0.0
23.8588,0.0
23.6642,0.0
23.6837,0.0
26.9252,0.0
25.4704,0.0
23.9484,0.0
25.1254,0.0
24.825,0.0
23.8166,0.0
24.0527,0.0
23.821,0.0
24.2287,0.0
23.856,0.0
25.2547,0.0
24.4704,0.0
24.704,0.0
24.4013,0.0
24.1723,0.0
24.1903,0.0
24.3483,0.0
24.0428,0.0
23.9757,0.0
25.0795,0.0
23.8968,0.0
23.987,0.0
23.8585,0.0
24.1575,0.0
24.2857,0.0
24.4734,0.0
